experiment,exp_type,strain,temperature,salinity_m,reading,day,st,od,od1,od2,od3,baseline_st,delta_gamma,delta_gamma_OD,wgs_code,species,environment,has_lipopeptide_bgc,bgc_type_lipopeptide,has_wgs
exp4,temp_only,C8-P4,30°C,0,4,7,40.09,0.27366666666666667,0.273,0.274,0.274,69.37,29.28,106.99147381242388,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW2B-HB1,4°C,0,4,7,33.02,0.124,0.129,0.123,0.12,69.54,36.52,294.5161290322581,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW2B-HB1,15°C,0,4,7,29.14,0.23266666666666666,0.217,0.218,0.263,69.58,40.44,173.810888252149,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW2B-HB1,30°C,0,4,7,30.31,0.13833333333333334,0.137,0.139,0.139,69.58,39.269999999999996,283.8795180722891,A11,Peribacillus sp.,Qaidam,FALSE,NA,TRUE
exp4,temp_only,SW1C-HB20,4°C,0,4,7,59.21,0.046000000000000006,0.05,0.043,0.045,69.4,10.190000000000005,221.52173913043487,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW1C-HB20,15°C,0,4,7,62.93,0.10566666666666667,0.11,0.105,0.102,69.33,6.399999999999999,60.567823343848566,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW1C-HB20,30°C,0,4,7,61.54,0.17033333333333334,0.177,0.166,0.168,69.48,7.940000000000005,46.61448140900198,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,H5G,4°C,0,5,9,69.49,0.04666666666666667,0.044,0.048,0.048,69.43,-0.05999999999998806,-1.2857142857140298,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5G,15°C,0,5,9,66.52,0.5893333333333333,0.581,0.593,0.594,69.25,2.730000000000004,4.632352941176478,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5G,30°C,0,5,9,56.1,0.14833333333333332,0.146,0.15,0.149,69.31,13.21,89.05617977528091,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
